Group,feature,n_detected,n_total,Donor,gene_id,order
AB,DonA__EMOJOO_01490,10,10,DonA,EMOJOO_01490,first
AB,DonA__EMOJOO_01495,10,10,DonA,EMOJOO_01495,first
AB,DonA__EMOJOO_01500,10,10,DonA,EMOJOO_01500,first
AB,DonA__EMOJOO_01505,10,10,DonA,EMOJOO_01505,first
AB,DonA__EMOJOO_01515,10,10,DonA,EMOJOO_01515,first
AB,DonA__EMOJOO_01525,10,10,DonA,EMOJOO_01525,first
AB,DonA__EMOJOO_01530,10,10,DonA,EMOJOO_01530,first
AB,DonA__EMOJOO_01535,10,10,DonA,EMOJOO_01535,first
AB,DonA__EMOJOO_01540,10,10,DonA,EMOJOO_01540,first
AB,DonA__EMOJOO_01545,10,10,DonA,EMOJOO_01545,first
AB,DonA__EMOJOO_01550,10,10,DonA,EMOJOO_01550,first
AB,DonA__EMOJOO_01555,10,10,DonA,EMOJOO_01555,first
AB,DonA__EMOJOO_01565,10,10,DonA,EMOJOO_01565,first
AB,DonA__EMOJOO_01575,10,10,DonA,EMOJOO_01575,first
AB,DonA__EMOJOO_01580,10,10,DonA,EMOJOO_01580,first
AB,DonA__EMOJOO_01585,10,10,DonA,EMOJOO_01585,first
AB,DonA__EMOJOO_01590,10,10,DonA,EMOJOO_01590,first
AB,DonA__EMOJOO_01595,10,10,DonA,EMOJOO_01595,first
AB,DonA__EMOJOO_01600,10,10,DonA,EMOJOO_01600,first
AB,DonA__EMOJOO_01605,10,10,DonA,EMOJOO_01605,first
AB,DonA__EMOJOO_01610,10,10,DonA,EMOJOO_01610,first
AB,DonA__EMOJOO_01615,10,10,DonA,EMOJOO_01615,first
AB,DonA__EMOJOO_01620,10,10,DonA,EMOJOO_01620,first
AB,DonA__EMOJOO_01625,10,10,DonA,EMOJOO_01625,first
AB,DonA__EMOJOO_01630,10,10,DonA,EMOJOO_01630,first
AB,DonA__EMOJOO_01640,10,10,DonA,EMOJOO_01640,first
AB,DonA__EMOJOO_01650,10,10,DonA,EMOJOO_01650,first
AB,DonA__EMOJOO_01655,10,10,DonA,EMOJOO_01655,first
AB,DonA__EMOJOO_01660,10,10,DonA,EMOJOO_01660,first
AB,DonA__EMOJOO_01665,10,10,DonA,EMOJOO_01665,first
AB,DonA__EMOJOO_01675,10,10,DonA,EMOJOO_01675,first
AB,DonA__EMOJOO_01680,10,10,DonA,EMOJOO_01680,first
AB,DonA__EMOJOO_01685,10,10,DonA,EMOJOO_01685,first
AB,DonA__EMOJOO_01690,10,10,DonA,EMOJOO_01690,first
AB,DonA__EMOJOO_01695,10,10,DonA,EMOJOO_01695,first
AB,DonA__EMOJOO_01700,10,10,DonA,EMOJOO_01700,first
AB,DonA__EMOJOO_01705,10,10,DonA,EMOJOO_01705,first
AB,DonA__EMOJOO_01710,10,10,DonA,EMOJOO_01710,first
AB,DonA__EMOJOO_01715,10,10,DonA,EMOJOO_01715,first
AB,DonA__EMOJOO_01720,10,10,DonA,EMOJOO_01720,first
AB,DonA__EMOJOO_01725,10,10,DonA,EMOJOO_01725,first
AB,DonA__EMOJOO_01730,10,10,DonA,EMOJOO_01730,first
AB,DonA__EMOJOO_01735,10,10,DonA,EMOJOO_01735,first
AB,DonA__EMOJOO_01740,10,10,DonA,EMOJOO_01740,first
AB,DonA__EMOJOO_01745,10,10,DonA,EMOJOO_01745,first
AB,DonA__EMOJOO_01750,10,10,DonA,EMOJOO_01750,first
AB,DonA__EMOJOO_01755,10,10,DonA,EMOJOO_01755,first
AB,DonA__EMOJOO_01760,10,10,DonA,EMOJOO_01760,first
AB,DonA__EMOJOO_01765,10,10,DonA,EMOJOO_01765,first
AB,DonA__EMOJOO_01770,10,10,DonA,EMOJOO_01770,first
AB,DonA__EMOJOO_01775,10,10,DonA,EMOJOO_01775,first
AB,DonA__EMOJOO_01780,10,10,DonA,EMOJOO_01780,first
AB,DonA__EMOJOO_01790,10,10,DonA,EMOJOO_01790,first
AB,DonA__EMOJOO_01805,10,10,DonA,EMOJOO_01805,first
AB,DonA__EMOJOO_01815,10,10,DonA,EMOJOO_01815,first
AB,DonA__EMOJOO_01825,10,10,DonA,EMOJOO_01825,first
AB,DonA__EMOJOO_01835,10,10,DonA,EMOJOO_01835,first
AB,DonA__EMOJOO_01840,10,10,DonA,EMOJOO_01840,first
AB,DonA__EMOJOO_01855,10,10,DonA,EMOJOO_01855,first
AB,DonA__EMOJOO_01860,10,10,DonA,EMOJOO_01860,first
AB,DonA__EMOJOO_01865,10,10,DonA,EMOJOO_01865,first
AB,DonA__EMOJOO_01870,10,10,DonA,EMOJOO_01870,first
AB,DonA__EMOJOO_01875,10,10,DonA,EMOJOO_01875,first
AB,DonA__EMOJOO_01880,10,10,DonA,EMOJOO_01880,first
AB,DonA__EMOJOO_01885,10,10,DonA,EMOJOO_01885,first
AB,DonA__EMOJOO_01890,10,10,DonA,EMOJOO_01890,first
AB,DonA__EMOJOO_01895,10,10,DonA,EMOJOO_01895,first
AB,DonA__EMOJOO_01900,10,10,DonA,EMOJOO_01900,first
AB,DonA__EMOJOO_01905,10,10,DonA,EMOJOO_01905,first
AB,DonA__EMOJOO_01910,10,10,DonA,EMOJOO_01910,first
AB,DonA__EMOJOO_01915,10,10,DonA,EMOJOO_01915,first
AB,DonA__EMOJOO_01920,10,10,DonA,EMOJOO_01920,first
AB,DonA__EMOJOO_01925,10,10,DonA,EMOJOO_01925,first
AB,DonA__EMOJOO_01930,10,10,DonA,EMOJOO_01930,first
AB,DonA__EMOJOO_01945,10,10,DonA,EMOJOO_01945,first
AB,DonA__EMOJOO_01950,10,10,DonA,EMOJOO_01950,first
AB,DonA__EMOJOO_01955,10,10,DonA,EMOJOO_01955,first
AB,DonA__EMOJOO_01960,10,10,DonA,EMOJOO_01960,first
AB,DonA__EMOJOO_01970,10,10,DonA,EMOJOO_01970,first
AB,DonA__EMOJOO_01975,10,10,DonA,EMOJOO_01975,first
AB,DonA__EMOJOO_01980,10,10,DonA,EMOJOO_01980,first
AB,DonA__EMOJOO_01990,10,10,DonA,EMOJOO_01990,first
AB,DonA__EMOJOO_01995,10,10,DonA,EMOJOO_01995,first
AB,DonA__EMOJOO_02000,10,10,DonA,EMOJOO_02000,first
AB,DonA__EMOJOO_02005,10,10,DonA,EMOJOO_02005,first
AB,DonA__EMOJOO_02010,10,10,DonA,EMOJOO_02010,first
AB,DonA__EMOJOO_02020,10,10,DonA,EMOJOO_02020,first
AB,DonA__EMOJOO_02030,10,10,DonA,EMOJOO_02030,first
AB,DonA__EMOJOO_02040,10,10,DonA,EMOJOO_02040,first
AB,DonA__EMOJOO_02045,10,10,DonA,EMOJOO_02045,first
AB,DonA__EMOJOO_02055,10,10,DonA,EMOJOO_02055,first
AB,DonA__EMOJOO_02060,10,10,DonA,EMOJOO_02060,first
AB,DonA__EMOJOO_02065,10,10,DonA,EMOJOO_02065,first
AB,DonA__EMOJOO_02070,10,10,DonA,EMOJOO_02070,first
AB,DonA__EMOJOO_02075,10,10,DonA,EMOJOO_02075,first
AB,DonA__EMOJOO_02080,10,10,DonA,EMOJOO_02080,first
AB,DonA__EMOJOO_02085,10,10,DonA,EMOJOO_02085,first
AB,DonA__EMOJOO_02090,10,10,DonA,EMOJOO_02090,first
AB,DonA__EMOJOO_02095,10,10,DonA,EMOJOO_02095,first
AB,DonA__EMOJOO_02100,10,10,DonA,EMOJOO_02100,first
AB,DonA__EMOJOO_02105,10,10,DonA,EMOJOO_02105,first
AB,DonA__EMOJOO_02110,10,10,DonA,EMOJOO_02110,first
AB,DonA__EMOJOO_02115,10,10,DonA,EMOJOO_02115,first
AB,DonA__EMOJOO_02120,10,10,DonA,EMOJOO_02120,first
AB,DonA__EMOJOO_02125,10,10,DonA,EMOJOO_02125,first
AB,DonA__EMOJOO_02130,10,10,DonA,EMOJOO_02130,first
AB,DonA__EMOJOO_02170,10,10,DonA,EMOJOO_02170,first
AB,DonA__EMOJOO_02200,10,10,DonA,EMOJOO_02200,first
AB,DonA__EMOJOO_02290,10,10,DonA,EMOJOO_02290,first
AB,DonA__EMOJOO_03030,10,10,DonA,EMOJOO_03030,first
AB,DonA__EMOJOO_04370,10,10,DonA,EMOJOO_04370,first
AB,DonA__EMOJOO_04730,10,10,DonA,EMOJOO_04730,first
AB,DonA__EMOJOO_04740,10,10,DonA,EMOJOO_04740,first
AB,DonA__EMOJOO_04795,10,10,DonA,EMOJOO_04795,first
AB,DonA__EMOJOO_04815,10,10,DonA,EMOJOO_04815,first
